id,latitude,longitude,step 1,step 2,step 3,step 4,step 5.1,step 5.2
GA4601_R,55.86156852034677,-4.249758693427665,1,1,1,1,0,0
GA4651_R,55.85484979341293,-4.251511339891655,1,1,1,1,1,0
GA4651_S,55.85408462969502,-4.249613639611781,1,1,1,1,1,0
GA4651_T,55.855578694138686,-4.249987620993227,1,1,1,1,1,0
GA4651_V,55.852329378276565,-4.252707611714965,1,1,1,1,1,0
GA4701_A,55.85595452663108,-4.250568603271824,1,1,1,1,1,0
GA4701_D,55.85632999505681,-4.249695506359895,1,1,1,1,1,0
GA4721_S,55.85617173990171,-4.248519911070388,1,1,1,1,1,1
GA4721_T,55.85735267711808,-4.249307214129634,1,1,1,1,1,1
GA4721_V,55.85600211779087,-4.249932209625752,1,1,1,1,1,0
GA4751_B,55.85711584377603,-4.246529140120458,1,1,1,1,1,0
GA4751_C,55.85665407722729,-4.249666305715105,1,1,1,1,1,0
GA4751_D,55.85861863829646,-4.2488850239234415,1,1,1,1,1,0
GA4771_T,55.85969518557228,-4.248499802037326,1,1,1,1,1,0
GA4771_V,55.85764865783946,-4.249340302621111,1,1,1,1,1,0
GA4801_A,55.86004650210669,-4.250421761202082,1,1,1,1,1,0
GA4801_B,55.85966494429015,-4.247203662627562,1,1,1,1,1,0
GA4801_C,55.85894067749307,-4.248967556218184,1,1,1,1,1,0
GA4801_D,55.86051036053082,-4.249138189628752,1,1,1,1,1,0
GA4851_S,55.85692077247911,-4.245399347486764,1,1,1,1,1,1
GA4851_V,55.856549356810426,-4.24654437258466,1,1,1,1,1,1
GA4871_A,55.86141953699448,-4.248567493942917,1,1,1,1,1,0
GA4871_D,55.86149843058432,-4.245232046454583,1,1,1,1,1,0
GA4871_H,55.860341288414666,-4.240179386155298,1,1,1,1,0,0
GA4901_R,55.86305073972171,-4.247830733027556,1,1,1,1,1,0
GA4901_S,55.8630252246768,-4.242827044221353,1,1,1,1,1,0
GA4901_V,55.86251847735004,-4.244987269051881,1,1,1,1,1,0
GA495A_A,55.86302503111264,-4.2448087403053485,1,1,1,1,0,0
GA495A_B,55.86309059350354,-4.240225823732692,1,1,1,1,0,0
GA4971_R,55.86307709911425,-4.242446478153432,1,1,1,1,1,0
GA4971_S,55.86289672837317,-4.2370503360067975,1,1,1,1,1,0
GA4971_T,55.864269181865616,-4.2376886270108844,1,1,1,1,1,0
GA5151_P,55.8569387815591,-4.2449050372045525,1,1,1,1,1,1
GA5151_R,55.8552219712963,-4.2414665342200975,1,1,1,1,1,1
GA5151_T,55.85745246612139,-4.242857373616797,1,1,1,1,1,1
GA5151_V,55.85593761611217,-4.24460760244162,1,1,1,1,1,1
GA5171_B,55.85653948252413,-4.244130995935113,1,1,1,1,1,1
GA5171_D,55.85762547767732,-4.244704964359968,1,1,1,1,1,1
GA5201_A,55.857834108218775,-4.243614422514919,1,1,1,1,1,1
GA5201_B,55.857289491404686,-4.241937168578764,1,1,1,1,1,1
GA5201_D,55.85887024114575,-4.241500914430377,1,1,1,1,1,1
GA5251_R,55.859260535656034,-4.242769834997752,1,1,1,1,1,1
GA5251_S,55.85887234945319,-4.240398430222887,1,1,0,0,0,0
GA5251_T,55.85968789465786,-4.240525290023306,1,1,1,1,1,1
GA5251_V,55.85772588028365,-4.242649422412462,1,1,1,1,1,1
GA5301_B,55.86001214740171,-4.237523694105418,1,1,1,1,1,0
GA5301_C,0.0,0.0,0,0,0,0,0,0
GA5301_D,0.0,0.0,0,0,0,0,0,0
GA5301_E,0.0,0.0,0,0,0,0,0,0
GA5351_R,55.86208992002028,-4.235453778514287,1,1,1,1,1,1
GA5351_T,55.86280406582014,-4.236709398599096,1,1,1,1,1,1
GA5371_A,55.86302818247815,-4.237729117192991,1,1,1,1,1,1
GA5371_C,55.86247998608794,-4.236738710494965,1,1,1,1,1,1
GA5371_D,55.86349421279903,-4.236813004256239,1,1,1,1,1,1
GA5371_F,55.86349363226202,-4.23684493422616,1,1,1,1,1,1
GA5401_T,55.864666308936656,-4.236113254625863,1,1,1,1,1,1
GA5401_V,55.86317911110443,-4.236842831861122,1,1,1,1,1,1
GA5401_X,55.86469150190335,-4.236210595725814,1,1,1,1,1,1
GA5451_R,55.86620741391143,-4.233404856342572,1,1,1,1,1,0
GA5451_S,55.86517517190324,-4.235806875413443,1,1,1,1,1,0
GA5451_T,55.86800068330511,-4.234626668100956,1,1,1,1,1,0
GA5451_V,55.866008429698965,-4.234464272463272,1,1,1,1,1,0
GA5451_W,55.86665543833556,-4.2339740005230775,1,1,1,1,1,0
GA5451_X,55.86623434803795,-4.2334064027554765,1,1,1,1,1,0
GA5471_B,55.8661546764245,-4.234824293822307,1,1,1,1,1,1
GA5471_C,55.86402333571597,-4.23687539121088,1,1,1,1,1,1
GA5471_D,55.86542944124785,-4.236157121242562,1,1,1,1,1,1
GA5501_A,55.86888802928426,-4.2357485677687325,1,1,1,1,1,0
GA5501_B,55.86909285285326,-4.232387724714938,1,1,1,1,1,0
GA5501_C,55.868252068197215,-4.23464111025327,1,1,1,1,1,0
GA5501_D,55.86958923585304,-4.23375888472578,1,1,1,1,1,0
GA5551_D,55.85472534545321,-4.240607069305779,1,1,1,1,1,0
GA5601_M,55.86330551733207,-4.239774733158878,1,1,1,1,1,1
GA5601_N,55.86492084776326,-4.236942981117101,1,1,1,1,1,1
GA5601_P,55.86397205902586,-4.237224044030398,1,1,1,1,1,1
GA5701_R,55.85426549730688,-4.239701809631506,1,0,0,0,0,0
GA5701_S,55.85503143465414,-4.24107208254901,1,1,1,1,1,0
GA5701_V,55.85405170356464,-4.24058426302681,1,1,1,1,1,0
GA5751_R,55.86895805277876,-4.237335000772282,1,1,1,1,1,0
GA5751_S,55.86879885806673,-4.234720475861463,1,1,1,1,1,0
GA5751_T,55.86923861751409,-4.238709782908749,1,1,1,1,1,0
GA5751_W,55.869359221835325,-4.236031397951133,1,1,1,1,1,0
GB0051_P,55.85418690885114,-4.268026138841512,1,1,1,1,0,0
GB0051_V,55.85354780122634,-4.264665529742765,1,1,1,1,0,0
GB0051_W,55.853540292555245,-4.264585204313944,1,1,1,0,0,0
GB0101_B,55.853323906720455,-4.263645911890871,1,1,1,1,1,0
GB0101_C,55.85257835327328,-4.265088437277361,1,1,1,1,1,0
GB0121_B,55.85244884232515,-4.265288604058332,1,1,1,1,1,1
GB0121_D,55.85343362638877,-4.265985031341041,1,1,1,1,1,1
GB0141_U,55.851664534750654,-4.265418700971181,1,1,1,1,1,1
GB0141_V,55.85164804867061,-4.265337856755604,1,1,1,1,1,1
GB0151_B,55.85132599025304,-4.264280620445512,1,1,1,1,1,0
GB0151_C,55.85047814554597,-4.265908823667181,1,1,1,1,1,1
GB0151_E,55.85047063763153,-4.265828504370363,1,1,1,1,1,1
GB0151_F,55.8512897849695,-4.26429449092712,1,1,1,1,1,0
GB0151_G,55.851352923874686,-4.2642821873481935,1,1,1,1,1,0
GB0251_S,55.85305107338908,-4.261377216940455,1,1,1,1,1,0
GB0251_T,55.85411643529278,-4.263068870791588,1,1,1,1,1,0
GB0301_A,55.852432488558186,-4.264712471382824,1,1,1,1,1,1
GB0301_D,55.85312123364121,-4.263426415815837,1,1,1,1,1,1
GB0351_S,55.850914451553,-4.26075780107548,1,1,1,1,1,1
