sensor,start,end,length_hours,value
GD0501_D,2021-03-10 23:00:00,2021-03-11 05:00:00,7,0.0
GD0501_D,2021-02-22 23:00:00,2021-02-23 05:00:00,7,0.0
GD0501_D,2021-03-07 23:00:00,2021-03-08 05:00:00,7,0.0
GD0501_D,2022-06-21 22:00:00,2022-06-22 04:00:00,7,0.0
GD0501_D,2023-04-05 22:00:00,2023-04-06 04:00:00,7,0.0
GD0501_D,2023-04-26 22:00:00,2023-04-27 04:00:00,7,0.0
GD0501_D,2021-10-13 22:00:00,2021-10-14 04:00:00,7,0.0
GD0501_D,2023-04-12 22:00:00,2023-04-13 04:00:00,7,0.0
GD0501_D,2021-08-03 22:00:00,2021-08-04 04:00:00,7,0.0
GD0501_D,2021-03-09 23:00:00,2021-03-10 05:00:00,7,0.0
GD0501_D,2021-03-17 23:00:00,2021-03-18 05:00:00,7,0.0
GD0501_C,2021-03-10 00:00:00,2021-03-10 05:00:00,6,0.0
GD0501_C,2021-03-08 00:00:00,2021-03-08 05:00:00,6,0.0
GD0501_C,2021-02-24 00:00:00,2021-02-24 05:00:00,6,0.0
GD0501_C,2021-03-02 00:00:00,2021-03-02 05:00:00,6,0.0
GD0501_C,2021-02-22 00:00:00,2021-02-22 05:00:00,6,0.0
GD0501_C,2021-02-18 00:00:00,2021-02-18 05:00:00,6,0.0
GD0501_C,2021-02-08 00:00:00,2021-02-08 05:00:00,6,0.0
GD0501_C,2021-02-17 00:00:00,2021-02-17 05:00:00,6,0.0
GD0501_C,2021-03-04 00:00:00,2021-03-04 05:00:00,6,0.0
GD0501_C,2021-03-03 00:00:00,2021-03-03 05:00:00,6,0.0
GD0501_C,2020-07-27 23:00:00,2020-07-28 04:00:00,6,0.0
GD0501_C,2020-07-12 00:00:00,2020-07-12 05:00:00,6,0.0
GD0501_C,2020-07-08 23:00:00,2020-07-09 04:00:00,6,0.0
GD0501_C,2020-07-26 00:00:00,2020-07-26 05:00:00,6,0.0
GD0501_C,2020-12-30 00:00:00,2020-12-30 05:00:00,6,0.0
GD0501_C,2020-12-28 00:00:00,2020-12-28 05:00:00,6,0.0
GD0501_C,2020-12-31 00:00:00,2020-12-31 05:00:00,6,0.0
GD0501_C,2021-01-06 00:00:00,2021-01-06 05:00:00,6,0.0
GD0501_C,2021-01-11 00:00:00,2021-01-11 05:00:00,6,0.0
GD0501_C,2021-01-13 00:00:00,2021-01-13 05:00:00,6,0.0
GD0501_C,2021-01-07 00:00:00,2021-01-07 05:00:00,6,0.0
GD0501_C,2021-01-10 01:00:00,2021-01-10 06:00:00,6,0.0
GD0501_C,2021-01-18 00:00:00,2021-01-18 05:00:00,6,0.0
GD0501_C,2021-01-19 00:00:00,2021-01-19 05:00:00,6,0.0
GD0501_C,2021-01-26 00:00:00,2021-01-26 05:00:00,6,0.0
GD0501_C,2021-01-27 00:00:00,2021-01-27 05:00:00,6,0.0
GD0501_C,2021-01-28 00:00:00,2021-01-28 05:00:00,6,0.0
GD0501_C,2020-07-29 00:00:00,2020-07-29 05:00:00,6,0.0
GD0501_C,2020-07-20 23:00:00,2020-07-21 04:00:00,6,0.0
GD0501_C,2020-06-21 23:00:00,2020-06-22 04:00:00,6,0.0
GD0501_C,2020-08-03 23:00:00,2020-08-04 04:00:00,6,0.0
GD0501_C,2020-07-30 00:00:00,2020-07-30 05:00:00,6,0.0
GD0501_C,2020-09-13 23:00:00,2020-09-14 04:00:00,6,0.0
GD0501_C,2020-08-04 23:00:00,2020-08-05 04:00:00,6,0.0
GD0501_C,2020-09-20 23:00:00,2020-09-21 04:00:00,6,0.0
GD0501_C,2020-10-26 00:00:00,2020-10-26 05:00:00,6,0.0
GD0501_C,2020-12-09 00:00:00,2020-12-09 05:00:00,6,0.0
GD0501_C,2020-12-10 00:00:00,2020-12-10 05:00:00,6,0.0
GD0501_C,2020-12-13 01:00:00,2020-12-13 06:00:00,6,0.0
GD0501_C,2020-12-14 00:00:00,2020-12-14 05:00:00,6,0.0
GD0501_C,2020-12-21 00:00:00,2020-12-21 05:00:00,6,0.0
GD0501_C,2020-12-22 00:00:00,2020-12-22 05:00:00,6,0.0
GD0501_C,2020-12-23 00:00:00,2020-12-23 05:00:00,6,0.0
GD0501_C,2020-12-26 01:00:00,2020-12-26 06:00:00,6,0.0
GD0501_C,2020-06-28 23:00:00,2020-06-29 04:00:00,6,0.0
GD0501_C,2020-06-28 00:00:00,2020-06-28 05:00:00,6,0.0
GD0501_D,2021-01-05 00:00:00,2021-01-05 05:00:00,6,0.0
GD0501_D,2021-01-01 00:00:00,2021-01-01 05:00:00,6,0.0
GD0501_D,2020-12-30 00:00:00,2020-12-30 05:00:00,6,0.0
GD0501_D,2020-12-25 00:00:00,2020-12-25 05:00:00,6,0.0
GD0501_D,2020-12-23 00:00:00,2020-12-23 05:00:00,6,0.0
GD0501_D,2020-12-22 00:00:00,2020-12-22 05:00:00,6,0.0
GD0501_D,2020-12-11 00:00:00,2020-12-11 05:00:00,6,0.0
GD0501_D,2020-12-18 00:00:00,2020-12-18 05:00:00,6,0.0
GD0501_D,2020-11-10 00:00:00,2020-11-10 05:00:00,6,0.0
GD0501_D,2020-07-28 23:00:00,2020-07-29 04:00:00,6,0.0
GD0501_D,2020-07-29 23:00:00,2020-07-30 04:00:00,6,0.0
GD0501_D,2020-08-06 23:00:00,2020-08-07 04:00:00,6,0.0
GD0501_D,2020-12-12 00:00:00,2020-12-12 05:00:00,6,0.0
GD0501_C,2023-05-02 23:00:00,2023-05-03 04:00:00,6,0.0
GD0501_C,2023-05-08 23:00:00,2023-05-09 04:00:00,6,0.0
GD0501_C,2023-06-13 23:00:00,2023-06-14 04:00:00,6,0.0
GD0501_C,2023-06-27 23:00:00,2023-06-28 04:00:00,6,0.0
GD0501_C,2023-07-04 23:00:00,2023-07-05 04:00:00,6,0.0
GD0501_C,2023-07-11 23:00:00,2023-07-12 04:00:00,6,0.0
GD0501_C,2023-07-31 23:00:00,2023-08-01 04:00:00,6,0.0
GD0501_C,2023-08-15 23:00:00,2023-08-16 04:00:00,6,0.0
GD0501_C,2023-08-21 23:00:00,2023-08-22 04:00:00,6,0.0
GD0501_C,2023-08-28 23:00:00,2023-08-29 04:00:00,6,0.0
GD0501_C,2023-08-29 23:00:00,2023-08-30 04:00:00,6,0.0
GD0501_C,2023-09-04 23:00:00,2023-09-05 04:00:00,6,0.0
GD0501_C,2023-09-18 23:00:00,2023-09-19 04:00:00,6,0.0
GD0501_C,2023-09-25 23:00:00,2023-09-26 04:00:00,6,0.0
GD0501_C,2023-09-26 23:00:00,2023-09-27 04:00:00,6,0.0
GD0501_D,2020-04-22 23:00:00,2020-04-23 04:00:00,6,0.0
GD0501_D,2020-07-22 23:00:00,2020-07-23 04:00:00,6,0.0
GD0501_D,2020-07-23 23:00:00,2020-07-24 04:00:00,6,0.0
GD0501_D,2020-07-27 23:00:00,2020-07-28 04:00:00,6,0.0
GD0501_C,2021-03-24 00:00:00,2021-03-24 05:00:00,6,0.0
GD0501_C,2021-03-23 00:00:00,2021-03-23 05:00:00,6,0.0
GD0501_C,2021-03-22 00:00:00,2021-03-22 05:00:00,6,0.0
GD0501_C,2023-05-01 23:00:00,2023-05-02 04:00:00,6,0.0
GD0501_C,2023-04-24 23:00:00,2023-04-25 04:00:00,6,0.0
GD0501_C,2023-04-04 23:00:00,2023-04-05 04:00:00,6,0.0
GD0501_C,2023-02-07 00:00:00,2023-02-07 05:00:00,6,0.0
GD0501_C,2021-03-25 00:00:00,2021-03-25 05:00:00,6,0.0
GD0501_C,2021-03-17 00:00:00,2021-03-17 05:00:00,6,0.0
GD0501_C,2021-03-16 00:00:00,2021-03-16 05:00:00,6,0.0
GD0501_C,2021-03-15 00:00:00,2021-03-15 05:00:00,6,0.0
GD0501_C,2021-03-18 00:00:00,2021-03-18 05:00:00,6,0.0
GD0501_C,2021-03-14 01:00:00,2021-03-14 06:00:00,6,0.0
GD0501_C,2021-02-01 00:00:00,2021-02-01 05:00:00,6,0.0
GD0501_C,2021-01-14 00:00:00,2021-01-14 05:00:00,6,0.0
GD0501_C,2021-01-17 01:00:00,2021-01-17 06:00:00,6,0.0
GD0501_C,2021-02-03 00:00:00,2021-02-03 05:00:00,6,0.0
GD0501_C,2021-02-02 00:00:00,2021-02-02 05:00:00,6,0.0
GD0501_C,2021-02-09 00:00:00,2021-02-09 05:00:00,6,0.0
GD0501_C,2021-02-04 00:00:00,2021-02-04 05:00:00,6,0.0
GD0501_C,2021-02-11 00:00:00,2021-02-11 05:00:00,6,0.0
GD0501_C,2021-02-16 00:00:00,2021-02-16 05:00:00,6,0.0
GD0501_D,2021-02-10 00:00:00,2021-02-10 05:00:00,6,0.0
GD0501_D,2021-02-12 00:00:00,2021-02-12 05:00:00,6,0.0
GD0501_D,2021-02-13 00:00:00,2021-02-13 05:00:00,6,0.0
GD0501_D,2021-01-22 00:00:00,2021-01-22 05:00:00,6,0.0
GD0501_D,2021-01-23 00:00:00,2021-01-23 05:00:00,6,0.0
GD0501_D,2021-01-13 00:00:00,2021-01-13 05:00:00,6,0.0
GD0501_D,2021-01-15 00:00:00,2021-01-15 05:00:00,6,0.0
GD0501_D,2021-01-30 00:00:00,2021-01-30 05:00:00,6,0.0
GD0501_D,2021-01-29 00:00:00,2021-01-29 05:00:00,6,0.0
GD0501_D,2021-01-27 00:00:00,2021-01-27 05:00:00,6,0.0
GD0501_D,2021-03-17 00:00:00,2021-03-17 05:00:00,6,0.0
GD0501_D,2021-03-19 00:00:00,2021-03-19 05:00:00,6,0.0
GD0501_D,2021-03-13 00:00:00,2021-03-13 05:00:00,6,0.0
GD0501_D,2021-03-14 00:00:00,2021-03-14 05:00:00,6,0.0
GD0501_D,2021-03-12 00:00:00,2021-03-12 05:00:00,6,0.0
GD0501_D,2021-02-19 00:00:00,2021-02-19 05:00:00,6,0.0
GD0501_D,2021-02-24 00:00:00,2021-02-24 05:00:00,6,0.0
GD0501_D,2021-03-03 00:00:00,2021-03-03 05:00:00,6,0.0
GD0501_D,2021-02-21 00:00:00,2021-02-21 05:00:00,6,0.0
GD0501_D,2021-02-18 00:00:00,2021-02-18 05:00:00,6,0.0
GD0501_D,2021-02-17 00:00:00,2021-02-17 05:00:00,6,0.0
GD0501_D,2021-01-31 00:00:00,2021-01-31 05:00:00,6,0.0
GD0501_D,2021-02-05 00:00:00,2021-02-05 05:00:00,6,0.0
GD0501_D,2021-08-29 23:00:00,2021-08-30 04:00:00,6,0.0
GD0501_D,2021-05-05 23:00:00,2021-05-06 04:00:00,6,0.0
GD0501_D,2021-03-30 23:00:00,2021-03-31 04:00:00,6,0.0
GD0501_D,2021-10-12 22:00:00,2021-10-13 03:00:00,6,0.0
GD0501_D,2021-09-08 23:00:00,2021-09-09 04:00:00,6,0.0
